                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9462,                 3.1647,                 1.6294,                0.76439,                0.47735,                0.53862,                0.25018,                  1.822,                 1.9372,                 1.6444,                0.00014,                0.00014,                0.00014
                      2,                 1.7231,                 1.7851,                 1.5773,                0.73726,                0.61765,                0.69438,                 0.4263,                 1.3867,                 2.2197,                 1.3341,             0.00028515,             0.00028515,             0.00028515
                      3,                  1.362,                 1.2089,                 1.2899,                 0.7358,                0.67647,                0.75311,                0.46789,                 1.3164,                 1.8174,                 1.2966,             0.00041446,             0.00041446,             0.00041446
                      4,                 1.2847,                 1.0282,                 1.2602,                0.87303,                0.70588,                0.82039,                0.52018,                 1.3035,                 1.3032,                 1.2876,             0.00052793,             0.00052793,             0.00052793
                      5,                 1.3517,                 0.9906,                 1.2305,                0.93527,                   0.85,                0.92439,                0.59637,                 1.2108,                0.95854,                 1.2225,             0.00062556,             0.00062556,             0.00062556
                      6,                 1.2759,                0.90189,                 1.2649,                0.86141,                0.85294,                0.92582,                0.62666,                 1.1458,                0.80798,                 1.1837,             0.00070735,             0.00070735,             0.00070735
                      7,                 1.2621,                0.82243,                 1.2038,                0.93308,                0.82025,                 0.9193,                0.62356,                 1.1818,                 0.7635,                 1.1815,              0.0007733,              0.0007733,              0.0007733
                      8,                  1.175,                0.77762,                 1.1468,                0.85099,                0.84008,                0.90876,                0.62173,                 1.1534,                0.80664,                 1.1603,             0.00082341,             0.00082341,             0.00082341
                      9,                 1.2704,                0.80697,                 1.2313,                0.82221,                 0.9523,                0.95083,                0.67132,                 1.0815,                0.68737,                 1.1558,             0.00085768,             0.00085768,             0.00085768
                     10,                 1.0928,                0.75031,                 1.1715,                0.78397,                      1,                0.93728,                0.65688,                  1.064,                0.68237,                 1.1427,             0.00087611,             0.00087611,             0.00087611
                     11,                 1.1364,                 0.7644,                 1.2506,                0.88458,                0.97059,                0.93941,                0.63199,                 1.1105,                0.78615,                 1.1855,              0.0008787,              0.0008787,              0.0008787
                     12,                 1.2759,                0.93287,                 1.3909,                0.92103,                0.91176,                0.95205,                0.64846,                 1.0829,                0.75258,                 1.1767,             0.00086545,             0.00086545,             0.00086545
